Identifiant;n° notice BnF;Type de notice ;Type de document;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb434825301 | ISBN 9782848654362 | ;43482530;monographie;texte imprimé;Gadji ! / Lucie Land;Land, Lucie. Auteur du texte;;Ed. Sarbacane (Paris);2010;Collection : Exprim' | Code à barres commercial : EAN 9782848654362 | ;;fre | français | ;"1 vol. (264 p.) ; 22 x 14 cm";
http://catalogue.bnf.fr/ark:/12148/cb43472260x | ISBN 9782070619474 | ;43472260;monographie;texte imprimé;Cheval de guerre (Nouv. éd.) Michael Morpurgo;Morpurgo, Michael (1943-....). Auteur du texte;;Gallimard-Jeunesse (Paris);2008;"Collection : Folio junior ; 347 | Code à barres commercial : EAN 9782070619474 | ";;fre | français | ;18 x 13 cm;
http://catalogue.bnf.fr/ark:/12148/cb43478780c | ISBN 9782070637065 | ;43478780;monographie;texte imprimé;"Sur les traces de Charles Darwin / Jean-Baptiste de Panafieu ; illustrations Vincent Desplanche";Panafieu, Jean-Baptiste de (1955-....). Auteur du texte;Desplanche, Vincent (1969-....). Illustrateur;Gallimard-Jeunesse (Paris);2011;Collection : Sur les traces de... | Code à barres commercial : EAN 9782070637065 | ;;fre | français | ;"1 vol. (128 p.) : ill. en coul. ; 18 x 14 cm";
http://catalogue.bnf.fr/ark:/12148/cb46916580c | ISBN 9782878335002 | ;46916580;monographie;texte imprimé;"La moufle / raconté par Jim Aylesworth ; illustré par Barbara McClintock";Aylesworth, Jim (1943-....). Auteur du texte;McClintock, Barbara (1955-....). Illustrateur;Circonflexe (Paris);2021;Collection : Albums Circonflexe;;fre | français | ;"1 vol. (non paginé [30] p.) : ill. en coul. ; 29 cm";
http://catalogue.bnf.fr/ark:/12148/cb43475561t | ISBN 9782878335064 | ;43475561;monographie;texte imprimé;"Les trois ours (Nouv. éd.) Paul Galdone ; traduit et adapté de l'américain par Emilie Fargeas ; préface de Evelyne Cévin";Galdone, Paul (1907-1986). Auteur du texte;Fargeas, Emilie. Traducteur;Circonflexe (Paris);2009;Collection : Aux couleurs du temps | Code à barres commercial : EAN 9782878335064 | ;;fre | français | ;"38 p. : ill. en coul. ; 24 x 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb434803211 | ISBN 9782081242104 | ;43480321;monographie;texte imprimé;"La source enchantée / Natalie Babbitt ; traduit de l'américain par Rose-Marie Vassallo";Babbitt, Natalie (1932-2016). Auteur du texte;Vassallo-Villaneau, Rose-Marie (1946-....). Traducteur;Flammarion (Paris);2011;Collection : Flammarion Jeunesse | Code à barres commercial : EAN 9782081242104 | ;;fre | français | ;"1 vol. ; 18 x 13 cm";
http://catalogue.bnf.fr/ark:/12148/cb43484031g | ISBN 9782811610142 | ;43484031;monographie;texte imprimé;Dragon head. 10 (Nouvelle édition) Minetaro Mochizuki;Mochizuki, Minetarō (1964-....). Auteur du texte;;Pika (Boulogne-Billancourt (Hauts-de-Seine));2012;Code à barres commercial : EAN 9782811610142;;fre | français | ;"1 vol. (192 p.) : illustrations en noir et blanc ; 21 x 15 cm";
http://catalogue.bnf.fr/ark:/12148/cb434840513 | ISBN 9782930618302 | ;43484051;monographie;texte imprimé;"Bomba fatale / Midam ; illustrations Adam ; scénario Patelin";Midam (1963-....). Auteur du texte;Adam (1969-....). Illustrateur | Patelin. Scénariste | ;Mad fabrik (Lasne (Belgique));2012;Code à barres commercial : EAN 9782930618302;;fre | français | ;"1 vol. (48 p.) : ill. en coul. ; 30 x 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb43482531c | ISBN 9782211084925 | ;43482531;monographie;texte imprimé;"L'Indien du placard (Nouv. éd.) Lynne Reid Banks ; traduit de l'anglais par Laurence Challamel";Banks, Lynne Reid (1929-....). Auteur du texte;Challamel, Laurence. Traducteur;Ecole des loisirs (Paris);2006;Collection : Neuf | Code à barres commercial : EAN 9782211084925 | ;;fre | français | ;"1 vol. (251 p.) ; 19 x 13 cm";
http://catalogue.bnf.fr/ark:/12148/cb43472472g | ISBN 9782070619504 | ;43472472;monographie;texte imprimé;"Niourk (Nouv. éd.) Stefan Wul ; illustrations de Victor de la Fuente";Wul, Stefan (1922-2003). Auteur du texte;Fuente, Víctor de la (1927-2010). Illustrateur;Gallimard-Jeunesse (Paris);2008;"Collection : Folio junior ; 439 | Code à barres commercial : EAN 9782070619504 | ";;fre | français | ;"illustrations en noir et blanc ; 18 x 13 cm";
http://catalogue.bnf.fr/ark:/12148/cb43487162r | ISBN 9782226174574 | ;43487162;monographie;texte imprimé;Bartiméus / Jonathan Stroud;Stroud, Jonathan (1970-....). Auteur du texte;;Albin Michel-Jeunesse (Paris);2007;Collection : Wiz | Code à barres commercial : EAN 9782226174574 | ;;fre | français | ;"3 vol. ; 22 x 15 cm";
http://catalogue.bnf.fr/ark:/12148/cb43470092h | ISBN 9782013225977 | ;43470092;monographie;texte imprimé;"Oscar, à la vie, à la mort (Nouv. présentation) Bjarne Reuter ; traduit du danois par Jean Renaud";Reuter, Bjarne (1950-....). Auteur du texte;"Renaud, Jean (1947-.... ; spécialiste de la civilisation scandinave). Traducteur";Hachette Jeunesse (Paris);2008;"Collection : Conte ; 737 | Code à barres commercial : EAN 9782013225977 | ";;fre | français | ;"125 p. : illustrations en noir et blanc ; 18 x 11 cm";
http://catalogue.bnf.fr/ark:/12148/cb43476572q | ISBN 9782211201346 | ;43476572;monographie;texte imprimé;"Le Hollandais sans peine (Nouv. éd.) Marie-Aude Murail ; illustrations de Michel Gay";Murail, Marie-Aude (1954-....). Auteur du texte;Gay, Michel (1947-....). Illustrateur;Ecole des loisirs (Paris);2010;Collection : Mouche | Code à barres commercial : EAN 9782211201346 | ;;fre | français | ;"56 p. : ill. en coul. ; 19 x 14 cm";
http://catalogue.bnf.fr/ark:/12148/cb43482532q | ISBN 9782211208222 | ;43482532;monographie;texte imprimé;"Je suis Juan de Pareja : né esclave à Séville, élève en secret de Velazquez, peintre malgré tout (Nouvelle édition) Elizabeth Borton de Trevino ; traduit de l'américain par Tessa Brisac";Treviño, Elizabeth Borton de (1904-2001). Auteur du texte;Brisac, Tessa. Traducteur;Ecole des loisirs (Paris);2011;Collection : Médium poche | Code à barres commercial : EAN 9782211208222 | ;;fre | français | ;"1 vol. (330 p.) ; 19 x 13 cm";
http://catalogue.bnf.fr/ark:/12148/cb43462202j | ISBN 0435891375 | ;43462202;monographie;texte imprimé;"Le sac de Dielo / Bridget Krone ; illustrations de Paddy Bouma ; traduit de l'anglais par Eva Rogo-Lévénez";Krone, Bridget. Auteur du texte;Bouma, Paddy. Illustrateur | Rogo-Lévénez, Éva (1956-....). Traducteur | ;Heinemann educational books Ltd (London);2005;Collection : Auteurs africains junior VIH-sida | Code à barres commercial : EAN 9780435891374 | ;;fre | français | ;"16 p. : ill. en coul. ; 22 x 16 cm";
